"Gebruik van Geweld";"Soort diefstal";"Perioden";"Regio's";"Geregistreerde diefstallen/Totaal geregistreerde diefstallen (aantal)"
"Alle diefstallen";"Alle diefstallen";"2012";"Nederland";656450
"Alle diefstallen";"Alle diefstallen";"2013";"Nederland";650650
"Alle diefstallen";"Alle diefstallen";"2014";"Nederland";592590
"Alle diefstallen";"Alle diefstallen";"2015";"Nederland";549105
"Alle diefstallen";"Alle diefstallen";"2016";"Nederland";498285
"Alle diefstallen";"Alle diefstallen";"2017";"Nederland";428135
"Alle diefstallen";"Alle diefstallen";"2019*";"Nederland";374190
"Alle diefstallen";"Straatroof";"2012";"Nederland";8155
"Alle diefstallen";"Straatroof";"2013";"Nederland";7180
"Alle diefstallen";"Straatroof";"2014";"Nederland";5525
"Alle diefstallen";"Straatroof";"2015";"Nederland";4820
"Alle diefstallen";"Straatroof";"2016";"Nederland";4260
"Alle diefstallen";"Straatroof";"2017";"Nederland";3665
"Alle diefstallen";"Straatroof";"2019*";"Nederland";3835
"Alle diefstallen";"Zakkenrollerij";"2012";"Nederland";38945
"Alle diefstallen";"Zakkenrollerij";"2013";"Nederland";43945
"Alle diefstallen";"Zakkenrollerij";"2014";"Nederland";34985
"Alle diefstallen";"Zakkenrollerij";"2015";"Nederland";30575
"Alle diefstallen";"Zakkenrollerij";"2016";"Nederland";26380
"Alle diefstallen";"Zakkenrollerij";"2017";"Nederland";21730
"Alle diefstallen";"Zakkenrollerij";"2019*";"Nederland";13355
"Alle diefstallen";"Totaal diefstal uit woning/schuur/e.d.";"2012";"Nederland";112190
"Alle diefstallen";"Totaal diefstal uit woning/schuur/e.d.";"2013";"Nederland";111095
"Alle diefstallen";"Totaal diefstal uit woning/schuur/e.d.";"2014";"Nederland";93365
"Alle diefstallen";"Totaal diefstal uit woning/schuur/e.d.";"2015";"Nederland";86155
"Alle diefstallen";"Totaal diefstal uit woning/schuur/e.d.";"2016";"Nederland";74240
"Alle diefstallen";"Totaal diefstal uit woning/schuur/e.d.";"2017";"Nederland";64580
"Alle diefstallen";"Totaal diefstal uit woning/schuur/e.d.";"2019*";"Nederland";51865
"Alle diefstallen";"Diefstal/inbraak uit woning";"2012";"Nederland";92075
"Alle diefstallen";"Diefstal/inbraak uit woning";"2013";"Nederland";87950
"Alle diefstallen";"Diefstal/inbraak uit woning";"2014";"Nederland";71440
"Alle diefstallen";"Diefstal/inbraak uit woning";"2015";"Nederland";64890
"Alle diefstallen";"Diefstal/inbraak uit woning";"2016";"Nederland";55720
"Alle diefstallen";"Diefstal/inbraak uit woning";"2017";"Nederland";49330
"Alle diefstallen";"Diefstal/inbraak uit woning";"2019*";"Nederland";39590
"Alle diefstallen";"Diefstal/inbraak uit schuur/garage/e.d";"2012";"Nederland";20115
"Alle diefstallen";"Diefstal/inbraak uit schuur/garage/e.d";"2013";"Nederland";23140
"Alle diefstallen";"Diefstal/inbraak uit schuur/garage/e.d";"2014";"Nederland";21925
"Alle diefstallen";"Diefstal/inbraak uit schuur/garage/e.d";"2015";"Nederland";21260
"Alle diefstallen";"Diefstal/inbraak uit schuur/garage/e.d";"2016";"Nederland";18520
"Alle diefstallen";"Diefstal/inbraak uit schuur/garage/e.d";"2017";"Nederland";15245
"Alle diefstallen";"Diefstal/inbraak uit schuur/garage/e.d";"2019*";"Nederland";12270
"Alle diefstallen";"Overval";"2012";"Nederland";2135
"Alle diefstallen";"Overval";"2013";"Nederland";1705
"Alle diefstallen";"Overval";"2014";"Nederland";1330
"Alle diefstallen";"Overval";"2015";"Nederland";1230
"Alle diefstallen";"Overval";"2016";"Nederland";1155
"Alle diefstallen";"Overval";"2017";"Nederland";1120
"Alle diefstallen";"Overval";"2019*";"Nederland";1185
